kalimat;sentiment
Mobil ini sangat nyaman untuk dikendarai dan memiliki performa yang luar biasa!;pos
Saya sangat kecewa dengan kualitas mobil ini banyak masalah yang muncul setelah beberapa bulan pemakaian.;neg
Desain mobilnya sangat elegan dan modern. Saya suka sekali dengan tampilannya.;pos
Saya merasa mobil ini sangat boros bahan bakar dan kurang nyaman untuk perjalanan jarak jauh.;neg
Mobil ini memiliki fitur keamanan yang lengkap dan membuat saya merasa aman saat berkendara.;pos
Saya tidak puas dengan pelayanan purna jual dari dealer mobil ini. Sangat lambat dan kurang responsif.;neg
Mobil ini sangat handal dan tidak pernah mengecewakan dalam hal performa.;pos
Mesin mobil ini sering mengalami masalah dan memerlukan perbaikan berkala.;neg
Saya sangat senang dengan pembelian mobil ini. Tidak ada keluhan sama sekali!;pos
Kualitas bahan yang digunakan pada mobil ini sangat rendah. Mudah rusak dan terlihat murahan.;neg
